Posted_date,Job Title,Country,Company,Skill
08-13-2024,IT project manager,Germany,Citi,"MAN,Asset Management,R"
11-18-2024,IT project manager,Germany,JPMorgan Chase,"LAN,R"
11-04-2024,IT project manager,Germany,McKesson,"Software Development,R"
11-01-2024,IT project manager,Germany,Epsilon,"Software Development,R"
10-11-2024,IT project manager,Germany,Gainsco Auto Insurance,"Software Development,R"
05-22-2024,IT project manager,Germany,SHIELD AI,"Gin,R"
12-06-2024,IT project manager,Germany,Spirent Communications,"Software Development,R"
09-27-2024,IT project manager,Germany,Micron,"MAN,Project Management,R"
07-18-2024,IT project manager,Germany,SHIELD AI,R
11-22-2024,IT project manager,Germany,Inclusion Cloud,"LAN,R"
12-07-2024,IT project manager,Germany,Chewy,"Software Development,R"
10-25-2024,IT project manager,Germany,NTT Data Services,"Software Development,R"
11-07-2024,IT project manager,Germany,RisamSoft,"Software Development,R"
12-02-2024,IT project manager,Germany,JPMorgan Chase,"Software Development,R"
09-26-2024,IT project manager,Germany,SHIELD AI,R
11-22-2024,IT project manager,Germany,Inclusion Cloud,"Software Development,R"
08-29-2024,IT project manager,Germany,SHIELD AI,R
10-10-2024,IT project manager,Germany,NTT Data Services,"Software Development,R"
11-26-2024,IT project manager,Germany,Dataiku Misc Postings,"LAN,R"
08-28-2024,IT project manager,Germany,Alcority,R
10-28-2024,IT project manager,Germany,NTT Data Services,"LAN,R"
11-12-2024,IT project manager,Germany,JPMorgan Chase,"MAN,Asset Management,R"
08-09-2024,IT project manager,Germany,Fortinet,"Software Development,R"
12-02-2024,IT project manager,Germany,JPMorgan Chase,"Software Development,R"
11-04-2024,IT project manager,Germany,McKesson,"Software Development,R"
09-26-2024,IT project manager,Germany,SHIELD AI,R
11-22-2024,IT project manager,Germany,Inclusion Cloud,"Software Development,R"
10-10-2024,IT project manager,Germany,NTT Data Services,"Software Development,R"
08-29-2024,IT project manager,Germany,SHIELD AI,R
